Município,Valor
SAO PAULO,0.00027163788884460754
RIO DE JANEIRO,0.00022021943399455973
BELO HORIZONTE,0.00025420730943176537
PORTO ALEGRE,0.0003742645734727721
CURITIBA,0.000298671987338771
BRASILIA,0.00016889519954673242
SALVADOR,0.000131984710558569
CAMPINAS,0.00029329572117792836
RECIFE,0.0002104676191334419
FORTALEZA,9.863724274290444e-05
GOIANIA,0.0002174341854713602
MANAUS,0.0001252489209670298
BELEM,0.0480859010270775
RIBEIRAO PRETO,0.0002739437361711095
GUARULHOS,0.0001537222698314299
CAMPO GRANDE,0.018605623497439112
SAO BERNARDO DO CAMPO,0.00021906894514158367
FLORIANOPOLIS,0.0003675126664124868
OSASCO,0.0001971586298332438
SAO LUIS,0.01590628853267571
VITORIA,0.0003935985568052917
JOAO PESSOA,0.00017002829319727808
SANTOS,0.0003182245835408711
SANTO ANDRE,0.06098047030689518
SAO JOSE DOS CAMPOS,0.00024118278229005792
NATAL,0.00014037373102147158
SOROCABA,0.00023568538619669254
NITEROI,0.00024839079634477417
LONDRINA,0.0002589606466716605
MACEIO,0.00010825466177732699
CUIABA,0.0002054603930602921
CAXIAS DO SUL,0.0002570291679791903
ARACAJU,0.0001488927791514014
SAO JOSE DO RIO PRETO,0.00026882703238613026
BARUERI,0.0004440721779754641
UBERLANDIA,0.00018595416658918575
JUNDIAI,0.0003593329645442381
JOINVILLE,0.00025432605269234244
TERESINA,8.639806468335109e-05
MARINGA,0.00029059157470411967
JUIZ DE FORA,0.00017617764288268488
PIRACICABA,0.000279924960466738
BLUMENAU,0.00036478700031780686
SAO CAETANO DO SUL,0.0004630858808202177
BAURU,0.00025573626999422615
DUQUE DE CAXIAS,8.544013566595718e-05
CANOAS,0.0001924137297247622
CONTAGEM,0.0001509831093252251
NOVA IGUACU,7.409188851721482e-05
CASCAVEL,0.0013013622771070993
PALMAS,0.0012945609119891799
DIADEMA,0.00016871428002352627
PORTO VELHO,0.00014461744976397692
SAO GONCALO,5.221037667496842e-05
MOGI DAS CRUZES,0.0001530663176458844
VILA VELHA,0.00012965641051214283
NOVO HAMBURGO,0.0002388354545160141
SANTA MARIA,0.011919587262053015
TAUBATE,0.00022333013541355395
MARILIA,0.0002909514111143439
PELOTAS,0.00014863084760383759
AMERICANA,0.00026444314059284845
MACAPA,8.773605874026617e-05
UBERABA,0.00016909330390516534
ANAPOLIS,0.00016336032181983397
SERRA,9.104013352552917e-05
PETROPOLIS,0.00014673370766732534
SAO CARLOS,0.00562934295012754
FEIRA DE SANTANA,8.87656570514631e-05
PONTA GROSSA,0.00019699664542855214
FRANCA,0.00018263505862585382
BRASILIA (TAGUATINGA),0.75
CAMPOS DOS GOYTACAZES,0.00010759671966946288
VOLTA REDONDA,0.00018613953895791057
ARACATUBA,0.00031292743616532663
INDAIATUBA,0.00021075391358308973
PRESIDENTE PRUDENTE,0.00029083521797448463
CRICIUMA,0.00028990709167966646
SAO JOSE,0.00021984083523528966
LIMEIRA,0.00019125913343404153
RIO BRANCO,0.008155339805825243
MAUA,9.21365631386739e-05
CHAPECO,0.0003080178382504587
PASSO FUNDO,0.0002588876622932562
SAO LEOPOLDO,0.000184371962052898
IPATINGA,0.00017331740822654847
GUARUJA,0.00011463981409759877
ARARAQUARA,0.00023915515295440528
RIO CLARO,0.002526202633700618
SAO JOSE DOS PINHAIS,0.0001762607199946514
JABOATAO DOS GUARARAPES,5.234365163460736e-05
BOA VISTA,0.004344170403587444
MACAE,0.0001567871633378075
MARABA,9.87508023502691e-05
PRAIA GRANDE,0.004786652078774617
FOZ DO IGUACU,0.000212973575787615
CAMPINA GRANDE,0.00012384442226577014
BRASILIA (GUARA),0.9090909090909091
LAURO DE FREITAS,0.00013390532397649217
SAO VICENTE,0.00496124031007752
BENTO GONCALVES,0.0002873492442714876
GOVERNADOR VALADARES,0.00013165104644791243
VITORIA DA CONQUISTA,0.00010260078328369409
IMPERATRIZ,9.639966530036208e-05
SUMARE,0.0001502388098291121
APARECIDA DE GOIANIA,7.286332534660915e-05
DOURADOS,0.00018625690148340319
MONTES CLAROS,0.00010883050736782535
TABOAO DA SERRA,0.00010897252530205821
BETIM,0.00013264865642649017
ITAJAI,0.0002868514468069848
COTIA,0.00016166682439039778
SAO JOAO DE MERITI,5.709379876761978e-05
POCOS DE CALDAS,0.00025497951269264296
RIO VERDE,0.00013249530055730837
ITU,0.00019935295725872595
CARUARU,8.212922760199082e-05
ANANINDEUA,5.228299290258371e-05
DIVINOPOLIS,0.00017886260024624803
BALNEARIO CAMBORIU,0.00028121484814398203
SANTA CRUZ DO SUL,0.00027404559814257984
BRASILIA (CEILANDIA),1.0666666666666667
CARIACICA,9.377026805273015e-05
LAGES,0.0002732778727541961
RIO GRANDE,0.00015568608024909772
POUSO ALEGRE,0.00027532137214927665
GRAVATAI,0.0001516113109089627
BOTUCATU,0.0002430297711469655
SUZANO,0.00010646828077016493
SETE LAGOAS,0.0001364566750056857
ATIBAIA,0.00018044528343789907
JARAGUA DO SUL,0.0002870184850943573
SANTA LUZIA,0.0019278656920234556
CAMACARI,0.0001478794092710531
MOSSORO,6.652961565841035e-05
NOVA FRIBURGO,0.00020401971144289017
RONDONOPOLIS,0.00011862295693139357
JACAREI,0.00016141638631189044
VARZEA GRANDE,0.007523939808481532
CABO FRIO,0.0001085173063400151
BARREIRAS,0.00012103838190794712
SANTANA DE PARNAIBA,0.0001686565800661977
VALINHOS,0.0002743693316058227
ERECHIM,0.00030947267731377715
CACHOEIRO DE ITAPEMIRIM,0.00014720616936307214
SANTAREM,8.15713912816497e-05
RESENDE,0.0002116210169901445
HORTOLANDIA,0.00012379460340904724
PETROLINA,7.055828537721871e-05
NOVA LIMA,0.00023919215449733249
ARAUCARIA,0.00022569658172268044
VIAMAO,9.363953461151298e-05
ITAQUAQUECETUBA,6.666471116847239e-05
MOGI-GUACU,0.8
BELFORD ROXO,4.0926258677341274e-05
VARGINHA,0.00021229557400330887
